"PID","PROV_ID_TYPE","ID_PROVIDER","ID_DOC","ID_LETTER_EXTERNAL","DTE_ADDED"
"84071","MCD","0905944        ","6514311002180","FIN-3310-O          ","07-NOV-14"
"84195","MCD","0907184        ","6514311002181","FIN-3310-O          ","07-NOV-14"
"84586","MCD","0911142        ","6514311002182","FIN-3310-O          ","07-NOV-14"
"85451","MCD","0919797        ","6514311002183","FIN-3310-O          ","07-NOV-14"
"85452","MCD","0919804        ","6514311002184","FIN-3310-O          ","07-NOV-14"
"86124","MCD","0926529        ","6514311002185","FIN-3310-O          ","07-NOV-14"
"86195","MCD","0927233        ","6514311002186","FIN-3310-O          ","07-NOV-14"
"86196","MCD","0927242        ","6514311002187","FIN-3310-O          ","07-NOV-14"
"86197","MCD","0927251        ","6514311002188","FIN-3310-O          ","07-NOV-14"
"86581","MCD","0931095        ","6514311002189","FIN-3310-O          ","07-NOV-14"
"86836","MCD","0933646        ","6514311002190","FIN-3310-O          ","07-NOV-14"
"87161","MCD","0936894        ","6514311002191","FIN-3310-O          ","07-NOV-14"
"88023","MCD","0945526        ","6514311002192","FIN-3310-O          ","07-NOV-14"
"90260","MCD","0967922        ","6514311002193","FIN-3310-O          ","07-NOV-14"
"92529","MCD","0990745        ","6514311002194","FIN-3310-O          ","07-NOV-14"
"92530","MCD","0990754        ","6514311002195","FIN-3310-O          ","07-NOV-14"
"92794","MCD","0993395        ","6514311002196","FIN-3310-O          ","07-NOV-14"
"92936","MCD","0994812        ","6514311002197","FIN-3310-O          ","07-NOV-14"
"93092","MCD","0996374        ","6514311002198","FIN-3310-O          ","07-NOV-14"
"94036","MCD","1724665        ","6514311002199","FIN-3310-O          ","07-NOV-14"
"94362","MCD","2001149        ","6514311002200","FIN-3310-O          ","07-NOV-14"
"94604","MCD","2003567        ","6514311002201","FIN-3310-O          ","07-NOV-14"
"95763","MCD","2015161        ","6514311002202","FIN-3310-O          ","07-NOV-14"
"96729","MCD","2024820        ","6514311002203","FIN-3310-O          ","07-NOV-14"
"96880","MCD","2026337        ","6514311002204","FIN-3310-O          ","07-NOV-14"
"96980","MCD","2027336        ","6514311002205","FIN-3310-O          ","07-NOV-14"
"96981","MCD","2027345        ","6514311002206","FIN-3310-O          ","07-NOV-14"
"97521","MCD","2032740        ","6514311002207","FIN-3310-O          ","07-NOV-14"
"97593","MCD","2033463        ","6514311002208","FIN-3310-O          ","07-NOV-14"
"97645","MCD","2033981        ","6514311002209","FIN-3310-O          ","07-NOV-14"
"97646","MCD","2033990        ","6514311002210","FIN-3310-O          ","07-NOV-14"
"97936","MCD","2036899        ","6514311002211","FIN-3310-O          ","07-NOV-14"
"98392","MCD","2041454        ","6514311002212","FIN-3310-O          ","07-NOV-14"
"98504","MCD","2042579        ","6514311002213","FIN-3310-O          ","07-NOV-14"
"98517","MCD","2042702        ","6514311002214","FIN-3310-O          ","07-NOV-14"
"99698","MCD","2054520        ","6514311002215","FIN-3310-O          ","07-NOV-14"
"101858","MCD","2076131        ","6514311002216","FIN-3310-O          ","07-NOV-14"
"103645","MCD","2094004        ","6514311002217","FIN-3310-O          ","07-NOV-14"
"106442","MCD","2121993        ","6514311002218","FIN-3310-O          ","07-NOV-14"
"107349","MCD","2131062        ","6514311002219","FIN-3310-O          ","07-NOV-14"
"107351","MCD","2131080        ","6514311002220","FIN-3310-O          ","07-NOV-14"
"108437","MCD","2141944        ","6514311002221","FIN-3310-O          ","07-NOV-14"
"108488","MCD","2142452        ","6514311002222","FIN-3310-O          ","07-NOV-14"
"108578","MCD","2143353        ","6514311002223","FIN-3310-O          ","07-NOV-14"
"108820","MCD","2145771        ","6514311002224","FIN-3310-O          ","07-NOV-14"
"109797","MCD","2155555        ","6514311002225","FIN-3310-O          ","07-NOV-14"
"109798","MCD","2155564        ","6514311002226","FIN-3310-O          ","07-NOV-14"
"109928","MCD","2156867        ","6514311002227","FIN-3310-O          ","07-NOV-14"
"110200","MCD","2159588        ","6514311002228","FIN-3310-O          ","07-NOV-14"
"110201","MCD","2159597        ","6514311002229","FIN-3310-O          ","07-NOV-14"
"111739","MCD","2174972        ","6514311002230","FIN-3310-O          ","07-NOV-14"
"111740","MCD","2174981        ","6514311002231","FIN-3310-O          ","07-NOV-14"
"111741","MCD","2174990        ","6514311002232","FIN-3310-O          ","07-NOV-14"
"111743","MCD","2175015        ","6514311002233","FIN-3310-O          ","07-NOV-14"
"112364","MCD","2181222        ","6514311002234","FIN-3310-O          ","07-NOV-14"
"115545","MCD","2213036        ","6514311002235","FIN-3310-O          ","07-NOV-14"
"116072","MCD","2218308        ","6514311002236","FIN-3310-O          ","07-NOV-14"
"116394","MCD","2221527        ","6514311002237","FIN-3310-O          ","07-NOV-14"
"117671","MCD","2234317        ","6514311002238","FIN-3310-O          ","07-NOV-14"
"117673","MCD","2234335        ","6514311002239","FIN-3310-O          ","07-NOV-14"
"119614","MCD","2253743        ","6514311002240","FIN-3310-O          ","07-NOV-14"
"123892","MCD","2296537        ","6514311002241","FIN-3310-O          ","07-NOV-14"
"123913","MCD","2296742        ","6514311002242","FIN-3310-O          ","07-NOV-14"
"123915","MCD","2296760        ","6514311002243","FIN-3310-O          ","07-NOV-14"
"123916","MCD","2296779        ","6514311002244","FIN-3310-O          ","07-NOV-14"
"124948","MCD","2307097        ","6514311002245","FIN-3310-O          ","07-NOV-14"
"125407","MCD","2311699        ","6514311002246","FIN-3310-O          ","07-NOV-14"
"127270","MCD","2330347        ","6514311002247","FIN-3310-O          ","07-NOV-14"
"129787","MCD","2355526        ","6514311002248","FIN-3310-O          ","07-NOV-14"
"10343294","MCD","0094224        ","6514311002249","FIN-3310-O          ","07-NOV-14"
"130378","MCD","2361439        ","6514311002250","FIN-3310-O          ","07-NOV-14"
"130380","MCD","2361457        ","6514311002251","FIN-3310-O          ","07-NOV-14"
"130502","MCD","2362670        ","6514311002252","FIN-3310-O          ","07-NOV-14"
